@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Mean_16.0 numeric
@attribute Median_16.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute class {'class 1','class 2'}

@data
0,2,0.037125,1.806605,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.119475,1.034401,-0.08235,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.125296,0.690353,-0.088171,-0.005821,0.192982,0,0.628242,0.628242,0.628242,0.628242,0.14468,0.303501,-0.107555,-0.025205,-0.019383,0.107981,0,0.504864,0.504864,0.504864,0.504864,0.121226,0.068473,-0.0841,-0.00175,0.004071,0.023454,0.108075,0,0.487102,0.487102,0.487102,0.487102,'class 2'
0,1.414214,0.001635,1.364715,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.073259,1.198039,-0.071625,0.190476,0,0.702467,0.702467,0.702467,0.702467,0.149504,0.789051,-0.147869,-0.076245,0.140351,0,0.767687,0.767687,0.767687,0.767687,0.151708,0.305658,-0.150073,-0.078449,-0.002204,0.122066,0,0.528057,0.528057,0.528057,0.528057,0.12497,0.075242,-0.123336,-0.051711,0.024534,0.026738,0.110559,0,0.482715,0.482715,0.482715,0.482715,'class 2'
0,1.414214,0.001635,1.364729,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.073607,1.239996,-0.071973,0.190476,0,0.702467,0.702467,0.702467,0.702467,0.162738,0.832973,-0.161104,-0.089131,0.192982,0,0.702986,0.702986,0.702986,0.702986,0.156715,0.303662,-0.15508,-0.083107,0.006023,0.131455,0,0.544568,0.544568,0.544568,0.544568,0.129446,0.082232,-0.127811,-0.055838,0.033292,0.027269,0.109317,0,0.506767,0.506767,0.506767,0.506767,'class 2'
0,2,0.037125,1.843334,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.124851,1.200889,-0.087725,0.142857,0,0.591673,0.591673,0.591673,0.591673,0.164574,0.806498,-0.127449,-0.039724,0.192982,0,0.702986,0.702986,0.702986,0.702986,0.160338,0.300221,-0.123212,-0.035487,0.004237,0.150235,0,0.603745,0.603745,0.603745,0.603745,0.134559,0.088984,-0.097434,-0.009708,0.030015,0.025779,0.111801,0,0.502474,0.502474,0.502474,0.502474,'class 2'
0,2,0.003262,1.877596,0.222222,0,0.764205,0.764205,0.764205,0.764205,0.110083,1.204868,-0.106821,0.142857,0,0.591673,0.591673,0.591673,0.591673,0.161385,0.733376,-0.158123,-0.051302,0.192982,0,0.66497,0.66497,0.66497,0.66497,0.164484,0.299273,-0.161222,-0.054401,-0.003099,0.164319,0,0.663907,0.663907,0.663907,0.663907,0.140141,0.095031,-0.136879,-0.030058,0.021244,0.024343,0.106832,0,0.495784,0.495784,0.495784,0.495784,'class 2'
0,3.162278,0.038756,2.858942,0.222222,0,0.764205,0.764205,0.764205,0.764205,0.171311,1.368687,-0.132555,0.142857,0,0.591673,0.591673,0.591673,0.591673,0.154761,0.660077,-0.116005,0.01655,0.105263,0,0.74197,0.74197,0.74197,0.74197,0.171824,0.307026,-0.133068,-0.000513,-0.017063,0.183099,0,0.704145,0.704145,0.704145,0.704145,0.145946,0.099963,-0.10719,0.025365,0.008815,0.025879,0.109317,0,0.488973,0.488973,0.488973,0.488973,'class 2'
0,3.162278,0.038756,2.83853,0.222222,0,0.764205,0.764205,0.764205,0.764205,0.16657,1.364845,-0.127813,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.135868,0.750738,-0.097112,0.030702,0.122807,0,0.730612,0.730612,0.730612,0.730612,0.172735,0.526779,-0.133979,-0.006166,-0.036868,0.201878,0,0.801366,0.801366,0.801366,0.801366,0.166086,0.157767,-0.12733,0.000484,-0.030218,0.00665,0.130435,0,0.567842,0.567842,0.567842,0.567842,'class 2'
0,3.162278,0.038756,2.864093,0.222222,0,0.764205,0.764205,0.764205,0.764205,0.17183,1.532738,-0.133074,0.142857,0,0.591673,0.591673,0.591673,0.591673,0.183649,0.996615,-0.144892,-0.011818,0.22807,0,0.808611,0.808611,0.808611,0.808611,0.214175,0.581752,-0.175419,-0.042345,-0.030527,0.220657,0,0.833995,0.833995,0.833995,0.833995,0.180375,0.153531,-0.141619,-0.008545,0.003273,0.0338,0.130435,0,0.557295,0.557295,0.557295,0.557295,'class 2'
0,1.414214,0.001635,1.41942,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.079433,1.508083,-0.077798,0.238095,0,0.791858,0.791858,0.791858,0.791858,0.220367,1.248042,-0.218733,-0.140935,0.263158,0,0.843805,0.843805,0.843805,0.843805,0.251116,0.608384,-0.249482,-0.171684,-0.030749,0.244131,0,0.876293,0.876293,0.876293,0.876293,0.193277,0.143704,-0.191642,-0.113844,0.027091,0.05784,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,1.414214,0.001635,1.476431,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.084323,1.825541,-0.082688,0.285714,0,0.963746,0.963746,0.963746,0.963746,0.246588,1.414777,-0.244953,-0.162265,0.280702,0,1.011049,1.011049,1.011049,1.011049,0.279791,0.60219,-0.278156,-0.195468,-0.033203,0.267606,0,0.945477,0.945477,0.945477,0.945477,0.204161,0.129157,-0.202527,-0.119839,0.042426,0.07563,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
