index,bin start,count
0,0.000,2803
1,0.010,87
2,0.020,34
3,0.030,32
4,0.040,22
5,0.050,13
6,0.060,12
7,0.070,17
8,0.080,8
9,0.090,11
10,0.100,9
11,0.110,3
12,0.120,5
13,0.130,6
14,0.140,3
15,0.150,4
16,0.160,5
17,0.170,6
18,0.180,7
19,0.190,1
20,0.200,4
21,0.210,3
22,0.220,5
23,0.230,3
24,0.240,3
25,0.250,4
26,0.260,4
27,0.270,4
28,0.280,2
29,0.290,2
30,0.300,5
31,0.310,3
32,0.320,2
33,0.330,2
34,0.340,3
35,0.350,4
36,0.360,1
37,0.370,2
38,0.380,2
39,0.390,5
40,0.400,9
41,0.410,3
42,0.420,2
43,0.430,1
44,0.440,2
45,0.450,0
46,0.460,1
47,0.470,2
48,0.480,2
49,0.490,1
50,0.500,4
51,0.510,0
52,0.520,1
53,0.530,1
54,0.540,3
55,0.550,2
56,0.560,1
57,0.570,4
58,0.580,4
59,0.590,4
60,0.600,1
61,0.610,2
62,0.620,0
63,0.630,1
64,0.640,0
65,0.650,3
66,0.660,4
67,0.670,1
68,0.680,2
69,0.690,1
70,0.700,2
71,0.710,3
72,0.720,0
73,0.730,1
74,0.740,1
75,0.750,0
76,0.760,5
77,0.770,3
78,0.780,4
79,0.790,2
80,0.800,5
81,0.810,4
82,0.820,4
83,0.830,3
84,0.840,3
85,0.850,6
86,0.860,7
87,0.870,3
88,0.880,4
89,0.890,9
90,0.900,8
91,0.910,9
92,0.920,6
93,0.930,3
94,0.940,11
95,0.950,6
96,0.960,9
97,0.970,10
98,0.980,28
99,0.990,78
