index,bin start,count
0,0.000,995957
1,0.004,5520
2,0.008,3489
3,0.012,2072
4,0.016,1668
5,0.020,1130
6,0.023,1017
7,0.027,883
8,0.031,760
9,0.035,644
10,0.039,574
11,0.043,518
12,0.047,477
13,0.051,406
14,0.055,402
15,0.059,338
16,0.062,316
17,0.066,307
18,0.070,289
19,0.074,255
20,0.078,241
21,0.082,225
22,0.086,227
23,0.090,212
24,0.094,198
25,0.098,193
26,0.102,182
27,0.105,165
28,0.109,165
29,0.113,176
30,0.117,158
31,0.121,142
32,0.125,147
33,0.129,133
34,0.133,117
35,0.137,130
36,0.141,150
37,0.145,131
38,0.148,132
39,0.152,93
40,0.156,110
41,0.160,114
42,0.164,111
43,0.168,102
44,0.172,110
45,0.176,112
46,0.180,101
47,0.184,90
48,0.188,115
49,0.191,99
50,0.195,98
51,0.199,87
52,0.203,113
53,0.207,80
54,0.211,83
55,0.215,81
56,0.219,87
57,0.223,81
58,0.227,69
59,0.230,90
60,0.234,91
61,0.238,94
62,0.242,77
63,0.246,90
64,0.250,92
65,0.254,76
66,0.258,89
67,0.262,90
68,0.266,90
69,0.270,84
70,0.273,71
71,0.277,71
72,0.281,76
73,0.285,78
74,0.289,65
75,0.293,73
76,0.297,68
77,0.301,72
78,0.305,54
79,0.309,67
80,0.312,94
81,0.316,61
82,0.320,82
83,0.324,65
84,0.328,57
85,0.332,58
86,0.336,78
87,0.340,53
88,0.344,65
89,0.348,67
90,0.352,73
91,0.355,72
92,0.359,80
93,0.363,65
94,0.367,77
95,0.371,63
96,0.375,72
97,0.379,78
98,0.383,63
99,0.387,69
100,0.391,70
101,0.395,65
102,0.398,60
103,0.402,70
104,0.406,82
105,0.410,55
106,0.414,72
107,0.418,67
108,0.422,66
109,0.426,55
110,0.430,60
111,0.434,63
112,0.438,75
113,0.441,70
114,0.445,56
115,0.449,76
116,0.453,60
117,0.457,73
118,0.461,60
119,0.465,68
120,0.469,65
121,0.473,63
122,0.477,62
123,0.480,72
124,0.484,47
125,0.488,57
126,0.492,59
127,0.496,62
128,0.500,66
129,0.504,54
130,0.508,51
131,0.512,75
132,0.516,65
133,0.520,69
134,0.523,68
135,0.527,70
136,0.531,74
137,0.535,45
138,0.539,61
139,0.543,82
140,0.547,55
141,0.551,70
142,0.555,57
143,0.559,61
144,0.562,73
145,0.566,82
146,0.570,49
147,0.574,58
148,0.578,51
149,0.582,68
150,0.586,66
151,0.590,66
152,0.594,71
153,0.598,81
154,0.602,63
155,0.605,63
156,0.609,64
157,0.613,64
158,0.617,45
159,0.621,74
160,0.625,74
161,0.629,81
162,0.633,62
163,0.637,73
164,0.641,80
165,0.645,55
166,0.648,89
167,0.652,76
168,0.656,57
169,0.660,81
170,0.664,76
171,0.668,75
172,0.672,84
173,0.676,82
174,0.680,78
175,0.684,85
176,0.688,86
177,0.691,87
178,0.695,73
179,0.699,89
180,0.703,88
181,0.707,79
182,0.711,85
183,0.715,97
184,0.719,84
185,0.723,84
186,0.727,92
187,0.730,74
188,0.734,94
189,0.738,107
190,0.742,113
191,0.746,94
192,0.750,99
193,0.754,95
194,0.758,104
195,0.762,107
196,0.766,102
197,0.770,109
198,0.773,100
199,0.777,101
200,0.781,85
201,0.785,110
202,0.789,107
203,0.793,115
204,0.797,116
205,0.801,111
206,0.805,120
207,0.809,119
208,0.812,115
209,0.816,144
210,0.820,137
211,0.824,160
212,0.828,141
213,0.832,155
214,0.836,131
215,0.840,138
216,0.844,164
217,0.848,144
218,0.852,153
219,0.855,174
220,0.859,147
221,0.863,164
222,0.867,140
223,0.871,155
224,0.875,167
225,0.879,184
226,0.883,187
227,0.887,160
228,0.891,184
229,0.895,190
230,0.898,205
231,0.902,222
232,0.906,221
233,0.910,215
234,0.914,224
235,0.918,205
236,0.922,225
237,0.926,260
238,0.930,252
239,0.934,266
240,0.938,288
241,0.941,287
242,0.945,300
243,0.949,363
244,0.953,425
245,0.957,457
246,0.961,464
247,0.965,489
248,0.969,546
249,0.973,612
250,0.977,648
251,0.980,699
252,0.984,677
253,0.988,752
254,0.992,700
255,0.996,1703
