index,bin start,count
0,0.000,970260
1,0.047,0
2,0.094,0
3,0.141,0
4,0.188,0
5,0.234,0
6,0.281,0
7,0.328,0
8,0.375,0
9,0.422,0
10,0.469,0
11,0.516,0
12,0.562,0
13,0.609,0
14,0.656,0
15,0.703,0
16,0.750,0
17,0.797,0
18,0.844,0
19,0.891,0
20,0.938,0
21,0.984,68656
22,1.031,0
23,1.078,0
24,1.125,0
25,1.172,0
26,1.219,0
27,1.266,0
28,1.312,0
29,1.359,0
30,1.406,0
31,1.453,0
32,1.500,0
33,1.547,0
34,1.594,0
35,1.641,0
36,1.688,0
37,1.734,0
38,1.781,0
39,1.828,0
40,1.875,0
41,1.922,0
42,1.969,7047
43,2.016,0
44,2.062,0
45,2.109,0
46,2.156,0
47,2.203,0
48,2.250,0
49,2.297,0
50,2.344,0
51,2.391,0
52,2.438,0
53,2.484,0
54,2.531,0
55,2.578,0
56,2.625,0
57,2.672,0
58,2.719,0
59,2.766,0
60,2.812,0
61,2.859,0
62,2.906,0
63,2.953,0
64,3.000,1607
65,3.047,0
66,3.094,0
67,3.141,0
68,3.188,0
69,3.234,0
70,3.281,0
71,3.328,0
72,3.375,0
73,3.422,0
74,3.469,0
75,3.516,0
76,3.562,0
77,3.609,0
78,3.656,0
79,3.703,0
80,3.750,0
81,3.797,0
82,3.844,0
83,3.891,0
84,3.938,0
85,3.984,575
86,4.031,0
87,4.078,0
88,4.125,0
89,4.172,0
90,4.219,0
91,4.266,0
92,4.312,0
93,4.359,0
94,4.406,0
95,4.453,0
96,4.500,0
97,4.547,0
98,4.594,0
99,4.641,0
100,4.688,0
101,4.734,0
102,4.781,0
103,4.828,0
104,4.875,0
105,4.922,0
106,4.969,223
107,5.016,0
108,5.062,0
109,5.109,0
110,5.156,0
111,5.203,0
112,5.250,0
113,5.297,0
114,5.344,0
115,5.391,0
116,5.438,0
117,5.484,0
118,5.531,0
119,5.578,0
120,5.625,0
121,5.672,0
122,5.719,0
123,5.766,0
124,5.812,0
125,5.859,0
126,5.906,0
127,5.953,0
128,6.000,120
129,6.047,0
130,6.094,0
131,6.141,0
132,6.188,0
133,6.234,0
134,6.281,0
135,6.328,0
136,6.375,0
137,6.422,0
138,6.469,0
139,6.516,0
140,6.562,0
141,6.609,0
142,6.656,0
143,6.703,0
144,6.750,0
145,6.797,0
146,6.844,0
147,6.891,0
148,6.938,0
149,6.984,48
150,7.031,0
151,7.078,0
152,7.125,0
153,7.172,0
154,7.219,0
155,7.266,0
156,7.312,0
157,7.359,0
158,7.406,0
159,7.453,0
160,7.500,0
161,7.547,0
162,7.594,0
163,7.641,0
164,7.688,0
165,7.734,0
166,7.781,0
167,7.828,0
168,7.875,0
169,7.922,0
170,7.969,24
171,8.016,0
172,8.062,0
173,8.109,0
174,8.156,0
175,8.203,0
176,8.250,0
177,8.297,0
178,8.344,0
179,8.391,0
180,8.438,0
181,8.484,0
182,8.531,0
183,8.578,0
184,8.625,0
185,8.672,0
186,8.719,0
187,8.766,0
188,8.812,0
189,8.859,0
190,8.906,0
191,8.953,0
192,9.000,7
193,9.047,0
194,9.094,0
195,9.141,0
196,9.188,0
197,9.234,0
198,9.281,0
199,9.328,0
200,9.375,0
201,9.422,0
202,9.469,0
203,9.516,0
204,9.562,0
205,9.609,0
206,9.656,0
207,9.703,0
208,9.750,0
209,9.797,0
210,9.844,0
211,9.891,0
212,9.938,0
213,9.984,5
214,10.031,0
215,10.078,0
216,10.125,0
217,10.172,0
218,10.219,0
219,10.266,0
220,10.312,0
221,10.359,0
222,10.406,0
223,10.453,0
224,10.500,0
225,10.547,0
226,10.594,0
227,10.641,0
228,10.688,0
229,10.734,0
230,10.781,0
231,10.828,0
232,10.875,0
233,10.922,0
234,10.969,2
235,11.016,0
236,11.062,0
237,11.109,0
238,11.156,0
239,11.203,0
240,11.250,0
241,11.297,0
242,11.344,0
243,11.391,0
244,11.438,0
245,11.484,0
246,11.531,0
247,11.578,0
248,11.625,0
249,11.672,0
250,11.719,0
251,11.766,0
252,11.812,0
253,11.859,0
254,11.906,0
255,11.953,2
