index,bin start,count
0,0.000,2960436
1,0.004,85894
2,0.008,56738
3,0.012,33078
4,0.016,31448
5,0.020,19365
6,0.023,18220
7,0.027,13688
8,0.031,11969
9,0.035,10566
10,0.039,10065
11,0.043,9198
12,0.047,8688
13,0.051,8231
14,0.055,7749
15,0.059,7388
16,0.062,7081
17,0.066,6838
18,0.070,6498
19,0.074,6518
20,0.078,5962
21,0.082,5800
22,0.086,5701
23,0.090,5411
24,0.094,5240
25,0.098,5100
26,0.102,4802
27,0.105,4862
28,0.109,4681
29,0.113,4453
30,0.117,4493
31,0.121,4319
32,0.125,4310
33,0.129,4207
34,0.133,4012
35,0.137,4037
36,0.141,3885
37,0.145,3840
38,0.148,3787
39,0.152,3767
40,0.156,3618
41,0.160,3689
42,0.164,3456
43,0.168,3427
44,0.172,3463
45,0.176,3405
46,0.180,3331
47,0.184,3232
48,0.188,3274
49,0.191,3103
50,0.195,3142
51,0.199,3106
52,0.203,2968
53,0.207,3027
54,0.211,2974
55,0.215,2862
56,0.219,2819
57,0.223,2883
58,0.227,2835
59,0.230,2781
60,0.234,2755
61,0.238,2791
62,0.242,2742
63,0.246,2581
64,0.250,2670
65,0.254,2608
66,0.258,2578
67,0.262,2535
68,0.266,2467
69,0.270,2470
70,0.273,2506
71,0.277,2454
72,0.281,2490
73,0.285,2389
74,0.289,2494
75,0.293,2492
76,0.297,2404
77,0.301,2414
78,0.305,2373
79,0.309,2344
80,0.312,2277
81,0.316,2258
82,0.320,2260
83,0.324,2242
84,0.328,2200
85,0.332,2333
86,0.336,2182
87,0.340,2181
88,0.344,2165
89,0.348,2165
90,0.352,2167
91,0.355,2220
92,0.359,2078
93,0.363,2137
94,0.367,2126
95,0.371,2067
96,0.375,2078
97,0.379,2007
98,0.383,2083
99,0.387,2021
100,0.391,2025
101,0.395,2139
102,0.398,1933
103,0.402,1996
104,0.406,1931
105,0.410,1853
106,0.414,1921
107,0.418,1954
108,0.422,1979
109,0.426,1935
110,0.430,1950
111,0.434,1956
112,0.438,1917
113,0.441,1883
114,0.445,1984
115,0.449,1849
116,0.453,1895
117,0.457,1846
118,0.461,1857
119,0.465,1841
120,0.469,1929
121,0.473,1833
122,0.477,1834
123,0.480,1881
124,0.484,1810
125,0.488,1835
126,0.492,1817
127,0.496,1863
128,0.500,1840
129,0.504,1847
130,0.508,1866
131,0.512,1833
132,0.516,1779
133,0.520,1923
134,0.523,1757
135,0.527,1840
136,0.531,1753
137,0.535,1884
138,0.539,1844
139,0.543,1806
140,0.547,1798
141,0.551,1827
142,0.555,1825
143,0.559,1841
144,0.562,1958
145,0.566,1765
146,0.570,1730
147,0.574,1772
148,0.578,1811
149,0.582,1779
150,0.586,1909
151,0.590,1865
152,0.594,1929
153,0.598,1943
154,0.602,1920
155,0.605,1833
156,0.609,1830
157,0.613,1858
158,0.617,1928
159,0.621,1946
160,0.625,1947
161,0.629,1926
162,0.633,1850
163,0.637,1918
164,0.641,1926
165,0.645,1892
166,0.648,2063
167,0.652,2021
168,0.656,1969
169,0.660,2006
170,0.664,1988
171,0.668,1979
172,0.672,1961
173,0.676,2062
174,0.680,1997
175,0.684,2031
176,0.688,2072
177,0.691,2049
178,0.695,2116
179,0.699,2138
180,0.703,2086
181,0.707,2093
182,0.711,2284
183,0.715,2145
184,0.719,2164
185,0.723,2185
186,0.727,2174
187,0.730,2285
188,0.734,2333
189,0.738,2246
190,0.742,2376
191,0.746,2364
192,0.750,2398
193,0.754,2450
194,0.758,2449
195,0.762,2504
196,0.766,2489
197,0.770,2523
198,0.773,2573
199,0.777,2577
200,0.781,2609
201,0.785,2615
202,0.789,2737
203,0.793,2733
204,0.797,2784
205,0.801,2919
206,0.805,2963
207,0.809,2917
208,0.812,2971
209,0.816,3024
210,0.820,3016
211,0.824,3148
212,0.828,3192
213,0.832,3202
214,0.836,3196
215,0.840,3343
216,0.844,3438
217,0.848,3479
218,0.852,3613
219,0.855,3669
220,0.859,3839
221,0.863,3802
222,0.867,3951
223,0.871,4062
224,0.875,4072
225,0.879,4046
226,0.883,4341
227,0.887,4405
228,0.891,4657
229,0.895,4648
230,0.898,4918
231,0.902,5078
232,0.906,5316
233,0.910,5380
234,0.914,5565
235,0.918,5985
236,0.922,6124
237,0.926,6447
238,0.930,6686
239,0.934,7047
240,0.938,7648
241,0.941,8101
242,0.945,8759
243,0.949,9668
244,0.953,10643
245,0.957,12181
246,0.961,13101
247,0.965,15513
248,0.969,15525
249,0.973,15438
250,0.977,16672
251,0.980,17082
252,0.984,16275
253,0.988,22676
254,0.992,24837
255,0.996,49630
