index,bin start,count
0,0.017,3
1,0.021,1
2,0.025,1
3,0.029,2
4,0.032,0
5,0.036,1
6,0.040,2
7,0.044,1
8,0.048,1
9,0.052,1
10,0.055,2
11,0.059,2
12,0.063,2
13,0.067,0
14,0.071,2
15,0.074,0
16,0.078,1
17,0.082,1
18,0.086,2
19,0.090,0
20,0.094,1
21,0.097,0
22,0.101,3
23,0.105,1
24,0.109,3
25,0.113,1
26,0.116,0
27,0.120,2
28,0.124,1
29,0.128,0
30,0.132,1
31,0.136,2
32,0.139,0
33,0.143,2
34,0.147,1
35,0.151,1
36,0.155,1
37,0.158,0
38,0.162,0
39,0.166,1
40,0.170,3
41,0.174,0
42,0.177,1
43,0.181,0
44,0.185,4
45,0.189,0
46,0.193,1
47,0.197,0
48,0.200,1
49,0.204,1
50,0.208,1
51,0.212,0
52,0.216,0
53,0.219,1
54,0.223,0
55,0.227,0
56,0.231,2
57,0.235,0
58,0.239,2
59,0.242,0
60,0.246,0
61,0.250,1
62,0.254,1
63,0.258,0
64,0.261,0
65,0.265,2
66,0.269,0
67,0.273,1
68,0.277,0
69,0.281,0
70,0.284,2
71,0.288,3
72,0.292,1
73,0.296,1
74,0.300,0
75,0.303,1
76,0.307,2
77,0.311,0
78,0.315,1
79,0.319,1
80,0.322,1
81,0.326,3
82,0.330,0
83,0.334,1
84,0.338,1
85,0.342,1
86,0.345,2
87,0.349,0
88,0.353,0
89,0.357,2
90,0.361,1
91,0.364,3
92,0.368,1
93,0.372,0
94,0.376,1
95,0.380,1
96,0.384,0
97,0.387,1
98,0.391,1
99,0.395,0
100,0.399,2
101,0.403,1
102,0.406,0
103,0.410,0
104,0.414,1
105,0.418,2
106,0.422,0
107,0.426,1
108,0.429,0
109,0.433,0
110,0.437,2
111,0.441,0
112,0.445,0
113,0.448,1
114,0.452,1
115,0.456,1
116,0.460,1
117,0.464,0
118,0.468,2
119,0.471,2
120,0.475,0
121,0.479,1
122,0.483,3
123,0.487,0
124,0.490,1
125,0.494,3
126,0.498,1
127,0.502,1
128,0.506,2
129,0.509,3
130,0.513,0
131,0.517,1
132,0.521,2
133,0.525,1
134,0.529,0
135,0.532,2
136,0.536,0
137,0.540,1
138,0.544,0
139,0.548,1
140,0.551,1
141,0.555,0
142,0.559,0
143,0.563,1
144,0.567,1
145,0.571,4
146,0.574,5
147,0.578,1
148,0.582,1
149,0.586,3
150,0.590,3
151,0.593,2
152,0.597,1
153,0.601,0
154,0.605,0
155,0.609,0
156,0.613,0
157,0.616,1
158,0.620,1
159,0.624,2
160,0.628,0
161,0.632,2
162,0.635,1
163,0.639,0
164,0.643,1
165,0.647,2
166,0.651,2
167,0.654,0
168,0.658,0
169,0.662,1
170,0.666,3
171,0.670,0
172,0.674,0
173,0.677,0
174,0.681,2
175,0.685,0
176,0.689,1
177,0.693,2
178,0.696,1
179,0.700,1
180,0.704,2
181,0.708,1
182,0.712,0
183,0.716,3
184,0.719,1
185,0.723,1
186,0.727,1
187,0.731,1
188,0.735,0
189,0.738,2
190,0.742,5
191,0.746,4
192,0.750,2
193,0.754,3
194,0.758,2
195,0.761,4
196,0.765,4
197,0.769,2
198,0.773,4
199,0.777,4
200,0.780,1
201,0.784,4
202,0.788,3
203,0.792,4
204,0.796,3
205,0.800,6
206,0.803,7
207,0.807,4
208,0.811,8
209,0.815,8
210,0.819,0
211,0.822,5
212,0.826,4
213,0.830,4
214,0.834,9
215,0.838,4
216,0.841,4
217,0.845,7
218,0.849,11
219,0.853,7
220,0.857,7
221,0.861,7
222,0.864,11
223,0.868,5
224,0.872,11
225,0.876,6
226,0.880,6
227,0.883,8
228,0.887,9
229,0.891,7
230,0.895,6
231,0.899,6
232,0.903,6
233,0.906,9
234,0.910,8
235,0.914,8
236,0.918,8
237,0.922,4
238,0.925,11
239,0.929,13
240,0.933,6
241,0.937,9
242,0.941,6
243,0.945,9
244,0.948,8
245,0.952,9
246,0.956,5
247,0.960,8
248,0.964,6
249,0.967,8
250,0.971,11
251,0.975,8
252,0.979,9
253,0.983,9
254,0.986,4
255,0.990,3
