index,bin start,count
0,0.003,58
1,0.007,25
2,0.010,27
3,0.014,27
4,0.018,14
5,0.022,8
6,0.025,9
7,0.029,6
8,0.033,8
9,0.037,6
10,0.040,5
11,0.044,3
12,0.048,3
13,0.052,10
14,0.055,3
15,0.059,5
16,0.063,2
17,0.067,3
18,0.070,4
19,0.074,4
20,0.078,3
21,0.082,6
22,0.085,4
23,0.089,1
24,0.093,2
25,0.097,2
26,0.100,3
27,0.104,3
28,0.108,1
29,0.112,1
30,0.115,1
31,0.119,4
32,0.123,3
33,0.127,5
34,0.130,2
35,0.134,1
36,0.138,6
37,0.142,0
38,0.145,1
39,0.149,2
40,0.153,0
41,0.157,1
42,0.160,0
43,0.164,0
44,0.168,5
45,0.172,0
46,0.175,1
47,0.179,0
48,0.183,0
49,0.187,1
50,0.190,0
51,0.194,2
52,0.198,0
53,0.202,3
54,0.205,1
55,0.209,1
56,0.213,1
57,0.217,3
58,0.220,2
59,0.224,2
60,0.228,1
61,0.232,3
62,0.235,1
63,0.239,2
64,0.243,1
65,0.247,0
66,0.250,0
67,0.254,1
68,0.258,0
69,0.262,1
70,0.265,2
71,0.269,2
72,0.273,3
73,0.277,2
74,0.280,2
75,0.284,1
76,0.288,1
77,0.292,1
78,0.295,2
79,0.299,0
80,0.303,0
81,0.307,0
82,0.310,1
83,0.314,2
84,0.318,2
85,0.322,0
86,0.325,1
87,0.329,0
88,0.333,2
89,0.337,1
90,0.340,0
91,0.344,0
92,0.348,1
93,0.352,3
94,0.355,3
95,0.359,1
96,0.363,1
97,0.367,0
98,0.370,2
99,0.374,1
100,0.378,0
101,0.382,3
102,0.385,3
103,0.389,1
104,0.393,3
105,0.397,0
106,0.400,1
107,0.404,2
108,0.408,2
109,0.412,2
110,0.415,0
111,0.419,2
112,0.423,0
113,0.427,0
114,0.430,2
115,0.434,5
116,0.438,1
117,0.442,0
118,0.445,2
119,0.449,1
120,0.453,1
121,0.457,1
122,0.460,1
123,0.464,2
124,0.468,2
125,0.472,1
126,0.475,1
127,0.479,0
128,0.483,0
129,0.487,1
130,0.490,0
131,0.494,0
132,0.498,3
133,0.502,4
134,0.505,2
135,0.509,0
136,0.513,3
137,0.517,3
138,0.520,1
139,0.524,2
140,0.528,3
141,0.532,0
142,0.535,2
143,0.539,1
144,0.543,3
145,0.547,3
146,0.550,5
147,0.554,1
148,0.558,1
149,0.562,1
150,0.565,2
151,0.569,1
152,0.573,2
153,0.577,1
154,0.580,0
155,0.584,2
156,0.588,2
157,0.592,0
158,0.595,0
159,0.599,0
160,0.603,2
161,0.607,2
162,0.610,2
163,0.614,2
164,0.618,0
165,0.622,2
166,0.625,1
167,0.629,2
168,0.633,1
169,0.637,1
170,0.640,4
171,0.644,1
172,0.648,2
173,0.652,0
174,0.655,2
175,0.659,1
176,0.663,2
177,0.667,1
178,0.670,3
179,0.674,5
180,0.678,2
181,0.682,2
182,0.685,1
183,0.689,2
184,0.693,4
185,0.697,1
186,0.700,1
187,0.704,3
188,0.708,2
189,0.712,3
190,0.715,1
191,0.719,1
192,0.723,3
193,0.727,2
194,0.730,1
195,0.734,2
196,0.738,1
197,0.742,1
198,0.745,2
199,0.749,5
200,0.753,0
201,0.757,1
202,0.760,0
203,0.764,2
204,0.768,0
205,0.772,0
206,0.775,1
207,0.779,2
208,0.783,1
209,0.787,3
210,0.790,1
211,0.794,3
212,0.798,4
213,0.802,5
214,0.805,1
215,0.809,0
216,0.813,1
217,0.817,3
218,0.820,1
219,0.824,0
220,0.828,2
221,0.832,2
222,0.835,0
223,0.839,4
224,0.843,1
225,0.847,3
226,0.850,3
227,0.854,2
228,0.858,3
229,0.862,1
230,0.865,3
231,0.869,1
232,0.873,1
233,0.877,1
234,0.880,2
235,0.884,2
236,0.888,0
237,0.892,1
238,0.895,3
239,0.899,2
240,0.903,3
241,0.907,3
242,0.910,3
243,0.914,2
244,0.918,1
245,0.922,6
246,0.925,2
247,0.929,0
248,0.933,0
249,0.937,2
250,0.940,0
251,0.944,2
252,0.948,1
253,0.952,2
254,0.955,0
255,0.959,2
