index,bin start,count
0,0.000,292
1,0.001,50
2,0.002,35
3,0.004,19
4,0.005,12
5,0.006,12
6,0.007,16
7,0.008,9
8,0.010,6
9,0.011,2
10,0.012,2
11,0.013,5
12,0.014,10
13,0.016,2
14,0.017,9
15,0.018,2
16,0.019,3
17,0.020,2
18,0.021,2
19,0.023,6
20,0.024,2
21,0.025,0
22,0.026,0
23,0.027,1
24,0.029,3
25,0.030,2
26,0.031,1
27,0.032,4
28,0.033,2
29,0.035,1
30,0.036,1
31,0.037,1
32,0.038,2
33,0.039,3
34,0.041,1
35,0.042,2
36,0.043,0
37,0.044,0
38,0.045,2
39,0.047,0
40,0.048,1
41,0.049,0
42,0.050,4
43,0.051,3
44,0.053,1
45,0.054,1
46,0.055,1
47,0.056,1
48,0.057,1
49,0.058,0
50,0.060,2
51,0.061,1
52,0.062,0
53,0.063,0
54,0.064,0
55,0.066,0
56,0.067,0
57,0.068,0
58,0.069,2
59,0.070,0
60,0.072,1
61,0.073,2
62,0.074,1
63,0.075,1
64,0.076,0
65,0.078,3
66,0.079,0
67,0.080,0
68,0.081,0
69,0.082,0
70,0.084,0
71,0.085,1
72,0.086,1
73,0.087,0
74,0.088,0
75,0.090,1
76,0.091,0
77,0.092,1
78,0.093,0
79,0.094,0
80,0.095,2
81,0.097,0
82,0.098,0
83,0.099,1
84,0.100,0
85,0.101,0
86,0.103,0
87,0.104,0
88,0.105,1
89,0.106,0
90,0.107,1
91,0.109,1
92,0.110,1
93,0.111,2
94,0.112,0
95,0.113,0
96,0.115,1
97,0.116,1
98,0.117,0
99,0.118,0
100,0.119,0
101,0.121,0
102,0.122,1
103,0.123,1
104,0.124,2
105,0.125,2
106,0.127,2
107,0.128,2
108,0.129,0
109,0.130,4
110,0.131,1
111,0.133,1
112,0.134,1
113,0.135,2
114,0.136,0
115,0.137,1
116,0.138,3
117,0.140,0
118,0.141,3
119,0.142,0
120,0.143,1
121,0.144,0
122,0.146,0
123,0.147,0
124,0.148,1
125,0.149,0
126,0.150,1
127,0.152,1
128,0.153,0
129,0.154,0
130,0.155,0
131,0.156,0
132,0.158,0
133,0.159,1
134,0.160,0
135,0.161,0
136,0.162,0
137,0.164,1
138,0.165,1
139,0.166,0
140,0.167,0
141,0.168,1
142,0.170,1
143,0.171,2
144,0.172,0
145,0.173,0
146,0.174,0
147,0.175,0
148,0.177,0
149,0.178,1
150,0.179,2
151,0.180,0
152,0.181,0
153,0.183,0
154,0.184,0
155,0.185,0
156,0.186,0
157,0.187,0
158,0.189,0
159,0.190,1
160,0.191,0
161,0.192,0
162,0.193,0
163,0.195,0
164,0.196,1
165,0.197,0
166,0.198,0
167,0.199,0
168,0.201,0
169,0.202,0
170,0.203,0
171,0.204,0
172,0.205,0
173,0.207,0
174,0.208,0
175,0.209,0
176,0.210,0
177,0.211,0
178,0.212,0
179,0.214,0
180,0.215,0
181,0.216,0
182,0.217,1
183,0.218,0
184,0.220,0
185,0.221,0
186,0.222,0
187,0.223,0
188,0.224,0
189,0.226,0
190,0.227,0
191,0.228,0
192,0.229,0
193,0.230,0
194,0.232,0
195,0.233,0
196,0.234,0
197,0.235,1
198,0.236,1
199,0.238,0
200,0.239,1
201,0.240,0
202,0.241,0
203,0.242,0
204,0.244,0
205,0.245,0
206,0.246,0
207,0.247,0
208,0.248,0
209,0.249,0
210,0.251,0
211,0.252,0
212,0.253,0
213,0.254,0
214,0.255,0
215,0.257,0
216,0.258,0
217,0.259,0
218,0.260,0
219,0.261,0
220,0.263,0
221,0.264,1
222,0.265,0
223,0.266,1
224,0.267,0
225,0.269,0
226,0.270,0
227,0.271,0
228,0.272,0
229,0.273,0
230,0.275,0
231,0.276,0
232,0.277,0
233,0.278,0
234,0.279,0
235,0.281,0
236,0.282,0
237,0.283,0
238,0.284,1
239,0.285,0
240,0.286,0
241,0.288,0
242,0.289,0
243,0.290,0
244,0.291,0
245,0.292,0
246,0.294,0
247,0.295,0
248,0.296,0
249,0.297,0
250,0.298,0
251,0.300,0
252,0.301,0
253,0.302,0
254,0.303,0
255,0.304,1
