sample_id,B,CD3 T,CD4 T,CD8 T,DC,DC/Mono,Endothelial,Macrophages,Mesenchymal-like,Mono/Neu,NK,Neutrophils,Other immune,Tregs,Unidentified,Tumor
1,1147,304,243,173,2,176,35,281,43,3,6,10,213,0,42,2489
2,2,11,21,245,37,9,100,511,130,56,11,10,43,0,7,1835
3,427,223,491,496,36,434,112,726,735,21,12,19,273,21,17,2272
4,329,369,733,304,2,458,132,880,214,52,6,129,717,182,27,2109
5,3,121,255,531,3,333,196,1064,236,183,1,73,175,48,44,2140
6,33,133,121,206,0,198,110,710,130,467,0,13,436,3,79,3359
7,0,1,1,4,0,2,4,245,115,7,0,288,10,0,101,2632
8,8,37,4,50,0,18,1,269,369,53,0,8,114,0,153,2052
9,60,229,340,391,73,212,75,1236,54,163,6,119,384,59,45,2693
10,18,75,165,410,2,99,40,1304,149,414,26,77,233,43,22,1503
11,1,34,118,302,0,17,18,574,29,214,1,212,22,122,4,3444
12,96,52,537,701,0,234,6,1413,12,29,11,150,52,272,0,3430
13,209,354,466,2089,14,172,38,1088,147,59,42,82,303,285,21,2296
14,0,35,72,410,0,21,11,345,60,85,4,45,28,5,6,5143
15,0,1,0,0,1,0,22,103,26,4,0,1,4,0,136,3017
16,146,130,2404,2433,240,256,31,494,9,9,212,92,35,48,0,1673
17,516,193,809,584,6,133,40,578,63,81,17,114,70,153,0,3714
18,6,21,19,51,0,4,2,312,6,46,0,18,12,11,4,5027
19,2,1,2,1,0,11,27,166,861,4,9,5,7,0,56,3248
20,17,85,22,475,0,17,4,193,13,203,0,478,65,2,4,3525
21,0,4,13,8,2,9,15,211,112,58,10,165,67,3,9,4737
22,0,3,5,7,1,2,12,146,44,3,0,1,5,0,184,2659
23,3,19,29,61,0,27,130,467,111,30,19,11,49,4,31,3499
24,0,3,5,0,0,2,1,32,16,5,0,31,6,4,7,4501
25,0,5,25,8,0,40,12,61,594,41,1,15,20,6,5,1825
26,0,0,0,1,0,0,10,72,168,0,0,14,4,0,41,4809
27,0,30,33,33,0,39,46,438,234,141,6,18,88,0,16,3210
28,2257,29,1230,192,72,163,62,324,214,10,118,56,35,17,11,1271
29,0,52,65,784,3,212,16,428,275,105,4,8,86,13,37,2731
31,0,0,2,6,0,9,64,272,126,3,0,15,9,0,0,2909
32,41,57,389,1273,0,178,37,1410,5,39,63,60,26,15,8,1557
33,3,11,14,38,9,44,7,152,456,2,0,4,38,0,29,1239
34,5,8,9,178,0,15,22,394,53,44,0,284,372,0,285,1187
35,2623,206,2723,770,3,416,57,164,61,1,8,8,109,0,15,552
36,4,96,130,370,5,105,68,409,955,5,11,70,218,0,59,434
37,238,421,340,979,1,298,138,945,200,68,13,30,1332,8,141,1128
38,1,31,40,42,0,88,20,686,74,91,0,8,42,1,6,3200
39,40,127,95,553,4,82,21,893,5,81,10,146,372,0,8,1593
40,703,61,205,255,729,100,304,113,534,14,30,12,248,16,11,950
41,177,276,263,284,0,416,40,507,532,216,17,119,569,0,54,1062
