Area,CD19 (Opal 480) Mean,CD19_Mean,CD3 (Opal 540) Mean,CD3_Mean,CD68 (Opal 520) Mean,CD68_Mean,CD8 (Opal 650) Mean,CD8_Mean,CK (Opal 780) Mean,CK_Mean,Dapi (DAPI) Mean,IER3 (Opal 620) Mean,Ki67 (Opal 690) Mean,cell_id,cell_type_FlowSOM_QC,cell_type_auto_int,cell_type_inform_int,cell_type_manual_int,pStat3 (Opal 570) Mean,sample_id_int,tsne_1,tsne_2
70,0,0,0.263,0,1.562,0,0.534,0,0.679,0.421,3.055,0.22,2.538,1,5,5,6,5,0.169,1,44.6027,-13.2424
114,0,0,0.188,0,1.757,0.0001353,2.112,0.323,0.348,0.067,2.418,0.634,0.448,2,3,3,6,6,0.692,1,14.0864,42.6182
72,0,0,0.804,0.17,3.941,0.162,16.028,0.923,0.134,0,6.497,0.163,0.384,3,3,3,6,3,2.708,1,21.2815,57.8344
74,0,0,0.287,0,1.891,0.0003071,0.536,0,0.801,0.379,2.151,0.227,0.144,4,5,5,6,5,0.278,1,27.0528,16.3593
134,0,0,0.401,0,1.304,0.0001037,0.593,0.0003824,0.714,0.247,3.427,0.345,0.174,5,5,5,6,5,0.36,1,43.5058,-19.2117
56,0,0,2.867,0.866,17.442,0.922,5.612,0.902,0.16,0,4.167,0.206,0.647,7,3,3,6,3,0.755,1,57.9498,-24.3643
148,0.004,0.0001082,0.272,0,6.793,0.432,0.891,0.0001352,0.478,0.176,1.602,0.451,0.265,9,4,4,6,4,0.291,1,59.6061,12.5145
155,0,0,0.116,0.001,2.338,0.001,1.938,0.161,0.446,0.306,2.362,0.115,0.463,11,5,5,6,5,0.244,1,18.9855,31.1507
132,0,0.004,0.253,2.87E-05,5.204,0.056,1.062,0.011,1.518,0.78,5.046,0.635,0.172,16,5,5,6,5,0.276,1,56.8642,26.871
123,0,0,0.308,4.38E-05,4.161,0.16,0.682,4.10E-05,0.51,0.185,4.661,0.262,0.345,21,5,5,6,5,0.194,1,52.632,32.5358
156,0,0,0.2,0,6.003,0.365,1.535,0.061,0.429,0.334,2.171,0.125,0.123,25,4,4,6,6,0.409,1,57.7069,15.5515
132,0.003,0.002,0.396,0.000417,1.587,0.0001843,1.577,0.012,0.343,0.177,4.433,1.365,0.243,26,5,5,6,5,0.407,1,17.1466,29.8554
155,0,0,0.135,0,1.895,0.0001392,0.402,0,0.542,0.602,2.158,0.198,0.246,27,5,5,6,5,0.103,1,43.4951,-0.355248
109,0,0.0002337,0.301,0,2.41,0.016,2.651,0.111,0.914,0.588,1.623,1.383,0.288,30,5,3,6,5,0.593,1,21.458,45.1561
157,0,1.07E-05,0.228,0,3.651,0.074,0.525,0,0.566,0.608,1.752,0.21,0.59,36,5,5,6,5,0.17,1,43.2905,41.6813
75,0,0,0.292,0,1.189,0.0003055,0.378,0,0.388,0.326,2.712,0.134,0.153,42,5,5,6,5,0.064,1,31.3335,-22.0658
60,0,0,1.046,0.439,0.786,0,0.394,0,0.169,0.0008593,3.836,0.242,0.392,44,2,2,6,2,0.065,1,-1.9331,46.1478
72,0,0,0.2,0,2.43,0.001,0.865,0.032,1.263,0.772,3.107,0.264,0.52,45,5,5,6,5,0.167,1,29.5735,24.2242
111,0,0,0.19,0,1.718,0.0001592,0.413,0,0.458,0.335,2.501,0.162,0.516,48,5,5,6,5,0.08,1,44.1059,-4.40459
231,0,0,0.085,0,0.685,2.73E-05,0.176,0,0.326,0.159,1.332,0.076,0.1,53,5,5,6,5,0.07,1,-9.38014,-7.24092
101,0.001,0,0.134,0,0.817,0,0.366,0,0.292,0.104,5.227,0.089,0.096,57,5,5,6,5,0.083,1,-4.61875,-23.6083
31,0,0,0.117,0,0.975,0,0.295,0,0.839,0.6,3.839,0.163,0.084,59,5,5,6,5,0.12,1,26.2726,-42.4546
