sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
1,1918,364,0,0.0001499,0.106,0.0002949,0,0.188,0.627,0.247,1.055,0.134,0.121,0.104,0.13,7.556,8.245989,15.445698,1,1,1,6
2,327,241,0,1.57E-05,0.073,0.02,0,0.128,0.409,0.176,1.735,0.113,0.09,0.08,0.105,13.828,35.192993,5.0404215,1,6,6,6
2,365,209,0.001,0.043,0.115,0.000906,0,0.178,0.684,0.185,1.239,0.104,0.048,0.042,0.086,18.161,13.02041,17.55355,1,1,1,6
2,1198,174,0,0,0.161,0,0,0.074,0.369,0.217,0.476,0.118,0.062,0.054,0.096,5.457,-17.246637,27.57854,1,1,1,6
2,1203,170,0,0,0.155,0,0,0.099,0.33,0.162,0.562,0.117,0.075,0.067,0.13,5.598,-17.358889,27.581331,1,1,1,6
5,72,38,0,0,0.03,0,0.002,0.104,0.129,0.239,0.392,0.209,0.044,0.015,0.756,4.904,-43.52506,15.879901,1,6,6,6
12,672,229,0,0,0.158,0.0001141,0,0.076,0.188,0.276,0.705,0.143,0.027,0.041,0.054,7.505,-15.676735,6.736416,1,1,1,6
1,1786,123,0.078,0,0,0,0.007,0.391,0.284,0,0.594,0.192,0.06,0.056,0.071,3.566,-22.782137,28.277985,2,6,6,6
2,20,179,0.086,0.005,0,0,0,0.612,0.364,0,0.403,0.107,0.061,0.069,0.098,3.818,-24.564322,29.720873,2,6,6,6
2,65,119,0.048,0,0,0,0,0.42,0.287,0,0.405,0.114,0.064,0.048,0.088,3.707,-25.609148,29.27793,2,6,6,6
2,307,228,0.135,5.27E-05,0.011,0.11,0,0.67,0.57,0.001,3.588,0.114,0.19,0.1,0.171,8.917,33.645958,41.29247,2,2,4,6
2,361,371,0.058,0,2.89E-05,0.005,0,0.482,0.284,0.002,0.676,0.107,0.086,0.06,0.08,7.416,-0.70449823,7.1125035,2,6,6,6
2,463,290,0.081,0.0001018,0,0,0,0.473,0.283,0,0.499,0.109,0.064,0.039,0.054,5.553,-24.28226,29.363495,2,6,6,6
