original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0.119475,0.125296,0.453716,0.453716,0.453716,'class 2'
0,0.073259,0.149504,0.702467,0.702467,0.702467,'class 2'
0,0.073607,0.162738,0.702467,0.702467,0.702467,'class 2'
0,0.124851,0.164574,0.591673,0.591673,0.591673,'class 2'
0,0.110083,0.161385,0.591673,0.591673,0.591673,'class 2'
0,0.171311,0.154761,0.591673,0.591673,0.591673,'class 2'
0,0.16657,0.135868,0.453716,0.453716,0.453716,'class 2'
0,0.17183,0.183649,0.591673,0.591673,0.591673,'class 2'
0,0.079433,0.220367,0.791858,0.791858,0.791858,'class 2'
0,0.084323,0.246588,0.963746,0.963746,0.963746,'class 2'
0,0.146935,0.255285,0.856996,0.856996,0.856996,'class 2'
0,0.085625,0.249874,0.856996,0.856996,0.856996,'class 2'
0,0.015939,0.065432,0.453716,0.453716,0.453716,'class 2'
0,0.01605,0.082658,0.453716,0.453716,0.453716,'class 2'
0,0.006304,0.092477,0.276195,0.276195,0.276195,'class 2'
0,0.006027,0.100068,0.276195,0.276195,0.276195,'class 2'
0,0.011689,0.107144,0.276195,0.276195,0.276195,'class 2'
0,0.010558,0.120114,0.453716,0.453716,0.453716,'class 2'
0,0.05843,0.152783,0.453716,0.453716,0.453716,'class 2'
0,0.176434,0.201037,0.702467,0.702467,0.702467,'class 2'
0,0.000121,0.028759,0,0,0,'class 2'
0,0.000113,0.03071,0,0,0,'class 2'
0,0.000233,0.037155,0,0,0,'class 2'
0,0.000613,0.057176,0,0,0,'class 2'
0,0.006693,0.104597,0.276195,0.276195,0.276195,'class 2'
0,0.037191,0.179078,0.856996,0.856996,0.856996,'class 2'
0,0.000002,0.015062,0,0,0,'class 2'
0,0.000222,0.040654,0,0,0,'class 2'
0,0.010708,0.103134,0.276195,0.276195,0.276195,'class 2'
0,0.115488,0.206065,0.722858,0.722858,0.722858,'class 2'
0,0.000002,0.012008,0,0,0,'class 2'
0,0.00055,0.04398,0,0,0,'class 2'
